t,x,y,phi
33.895,23.85161071022022,3.071901919445407,-5.012276503542684
33.9,23.85378377376178,3.078929459943253,-5.012283849666059
33.905,23.85595630394458,3.085955094090532,-5.012291141062986
33.91,23.85812830041948,3.092978822207606,-5.012298378141159
33.915,23.86029976284049,3.100000644613851,-5.012305561305237
33.92,23.86247069086474,3.107020561627661,-5.012312690956865
33.925,23.86464108415248,3.114038573566459,-5.012319767494694
33.93,23.866810942367,3.121054680746705,-5.012326791314407
33.935,23.86898026517469,3.1280688834839,-5.012333762808737
33.94,23.87114905224494,3.135081182092594,-5.012340682367494
33.945,23.87331730325015,3.142091576886396,-5.012347550377583
33.95,23.87548501786572,3.149100068177975,-5.012354367223025
33.955,23.87765219576999,3.156106656279075,-5.012361133284982
33.96,23.87981883664425,3.163111341500515,-5.012367848941776
